Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,Z,Guo,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
1,,L,Lv,"Wood Science Research Institute of Heilongjiang Academy of Forestry, Harbin, P. R. China.",,Wood Science Research Institute of Heilongjiang Academy of Forestry
2,,D,Liu,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
3,,X,He,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
4,,W,Wang,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
5,,Y,Feng,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
6,,MS,Islam,"Department of Animal Production & Management, Sher-e-Bangla Agricultural University, Sher-e-Bangla Nagar, Dhaka, Bangladesh.",Bangladesh,Sher-e-Bangla Agricultural University
7,,Q,Wang,"Key laboratory of Heilongjiang Soil Environment and Plant Nutrient, Institute of Soil Fertilizer and Environment Resources, Heilongjiang Academy of Agricultural Sciences, Harbin, P. R. China.",,Institute of Soil Fertilizer and Environment Resources
8,,W,Chen,"Animal Science and Technology College, Northeast Agricultural University, Harbin, P. R. China.",,Northeast Agricultural University
9,,Z,Liu,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
10,,S,Wu,"Key Laboratory of Combining Farming and Animal Husbandry, Institute of Animal Husbandry, Heilongjiang Academy of Agricultural Sciences, Ministry of Agriculture and Rural Affairs, Harbin, P. R. China.",,Institute of Animal Husbandry
11,,A,Abied,"Projects and Programs Secretary of the Sudan Youth Organization on Climate Change, Khartoum, Sudan.",Sudan,Unparsed
12,,CN,Tsokana,"Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
13,,C,Sokos,"Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
14,,A,Giannakopoulos,"Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
15,,P,Birtsas,"Department of Forestry and Natural Environment Administration, Technological Institute of Thessaly, Karditsa, Greece.",Greece,Technological Institute of Thessaly
