Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
18709,,Z,Hossain,"Swift Current Research and Development Centre, Agriculture and Agri-Food Canada, Swift Current, SK S9H 3X2, Canada.",Canada,Unparsed
18710,,J,Shi,"State Key Laboratory of Aridland Crop Science, College of Agronomy, Gansu Agricultural University, Lanzhou 730070, China.",China,Gansu Agricultural University
18711,,T,Mao,"State Key Laboratory of Aridland Crop Science, College of Agronomy, Gansu Agricultural University, Lanzhou 730070, China.",China,Gansu Agricultural University
18712,,X,Bai,"State Key Laboratory of Aridland Crop Science, College of Agronomy, Gansu Agricultural University, Lanzhou 730070, China.",China,Gansu Agricultural University
18713,,P,Chen,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18714,,L,Chen,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18715,,X,Ye,"College of Horticulture, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18716,,B,Tan,"College of Horticulture, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18717,,X,Zheng,"College of Horticulture, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18718,,J,Cheng,"College of Horticulture, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18719,,W,Wang,"College of Horticulture, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18720,,Q,Yang,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18721,,Y,Zhang,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18722,,J,Li,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18723,,J,Feng,"College of Forestry, Henan Agricultural University, 95 Wenhua Road, Zhengzhou 450002, China.",China,Henan Agricultural University
18724,,J,Wang,"Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou 324003, China.",China,University of Electronic Science and Technology of China
18725,,Y,Chen,"Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou 324003, China.",China,University of Electronic Science and Technology of China
18726,,Q,Zou,"Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou 324003, China.",China,University of Electronic Science and Technology of China
18727,,S,Jiang,"Key Laboratory of Quality and Safety Control for Subtropical Fruit and Vegetable, Ministry of Agriculture and Rural Affairs, Collaborative Innovation Center for Efficient and Green Production of Agriculture in Mountainous Areas of Zhejiang Province, College of Horticulture Science, Zhejiang A&F University, Hangzhou 311300, China.",China,Zhejiang A&F University
18728,,W,Zheng,"Key Laboratory of Quality and Safety Control for Subtropical Fruit and Vegetable, Ministry of Agriculture and Rural Affairs, Collaborative Innovation Center for Efficient and Green Production of Agriculture in Mountainous Areas of Zhejiang Province, College of Horticulture Science, Zhejiang A&F University, Hangzhou 311300, China.",China,Zhejiang A&F University
18729,,Z,Li,"Key Laboratory of Quality and Safety Control for Subtropical Fruit and Vegetable, Ministry of Agriculture and Rural Affairs, Collaborative Innovation Center for Efficient and Green Production of Agriculture in Mountainous Areas of Zhejiang Province, College of Horticulture Science, Zhejiang A&F University, Hangzhou 311300, China.",China,Zhejiang A&F University
18730,,J,Tan,"Key Laboratory of Quality and Safety Control for Subtropical Fruit and Vegetable, Ministry of Agriculture and Rural Affairs, Collaborative Innovation Center for Efficient and Green Production of Agriculture in Mountainous Areas of Zhejiang Province, College of Horticulture Science, Zhejiang A&F University, Hangzhou 311300, China.",China,Zhejiang A&F University
18731,,M,Wu,"Key Laboratory of Quality and Safety Control for Subtropical Fruit and Vegetable, Ministry of Agriculture and Rural Affairs, Collaborative Innovation Center for Efficient and Green Production of Agriculture in Mountainous Areas of Zhejiang Province, College of Horticulture Science, Zhejiang A&F University, Hangzhou 311300, China.",China,Zhejiang A&F University
