Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
18612,,M,Jayakodi,"Leibniz Institute of Plant Genetics and Crop Plant Research (IPK), Seeland, Germany.",Germany,Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)
18613,,A,Himmelbach,"Leibniz Institute of Plant Genetics and Crop Plant Research (IPK), Seeland, Germany.",Germany,Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)
18614,,N,Stein,"Center of integrated Breeding Research (CiBreed), Department of Crop Sciences, Georg-August-University, Von Siebold Str. 8, 37075, Göttingen, Germany.",Germany,Georg-August-University
18615,,S,Wu,"Department of Agronomy, Kansas State University, Manhattan, KS, 66506, USA.",USA,Kansas State University
18616,,J,Poland,"Department of Agronomy, Kansas State University, Manhattan, KS, 66506, USA.",USA,Kansas State University
18617,,J,Ens,"Crop Development Centre, Department of Plant Sciences, University of Saskatchewan, Saskatoon, SK, Canada.",Canada,University of Saskatchewan
18618,,C,Pozniak,"Crop Development Centre, Department of Plant Sciences, University of Saskatchewan, Saskatoon, SK, Canada.",Canada,University of Saskatchewan
18619,,M,Karafiátová,"Institute of Experimental Botany of the Czech Academy of Sciences, Centre of the Region Haná for Biotechnological and Agricultural Research, 779 00, Olomouc, Czech Republic.",Czech Republic,Institute of Experimental Botany of the Czech Academy of Sciences
18620,,I,Molnár,"Agricultural Institute, Centre for Agricultural Research, ELKH, Martonvásár, 2462, Hungary.",Hungary,Agricultural Institute
18621,,J,Doležel,"Institute of Experimental Botany of the Czech Academy of Sciences, Centre of the Region Haná for Biotechnological and Agricultural Research, 779 00, Olomouc, Czech Republic.",Czech Republic,Institute of Experimental Botany of the Czech Academy of Sciences
18622,,ER,Ward,"AgBiome, Inc., Research Triangle Park, NC, 27709, USA.",USA,Unparsed
18623,,TL,Reuber,"Alliance Management at Enko Chem, 62 Maritime Dr, Mystic, CT, 06355, USA.",USA,Unparsed
