Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,K,Nichols,"1Animal Nutrition Group, Wageningen University and Research, PO Box 338, 6700 AH Wageningen, the Netherlands.",the Netherlands,Wageningen University and Research
1,,A,Bannink,"2Wageningen Livestock Research, Wageningen University and Research, PO Box 338, 6700 AH Wageningen, the Netherlands.",the Netherlands,Wageningen University and Research
2,,J,van Baal,"1Animal Nutrition Group, Wageningen University and Research, PO Box 338, 6700 AH Wageningen, the Netherlands.",the Netherlands,Wageningen University and Research
3,,J,Dijkstra,"1Animal Nutrition Group, Wageningen University and Research, PO Box 338, 6700 AH Wageningen, the Netherlands.",the Netherlands,Wageningen University and Research
4,,E,Gamalero,"Dipartimento di Scienze e Innovazione Tecnologica, Università del Piemonte Orientale, 15121 Alessandria, Italy.",Italy,Università del Piemonte Orientale
5,,E,Bona,"Center on Autoimmune and Allergic Diseases (CAAD), Università del Piemonte Orientale, 28100 Novara, Italy.",Italy,Università del Piemonte Orientale
6,,BR,Glick,"Department of Biology, University of Waterloo, Waterloo, ON N2L 3G1, Canada.",Canada,University of Waterloo
7,,F,Quintas-Nunes,"Instituto de Tecnologia Química e Biológica António Xavier, Universidade Nova de Lisboa, Av. da República, 2780-157 Oeiras, Portugal.",Portugal,Universidade Nova de Lisboa
8,,PR,Brandão,"iBET, Instituto de Biologia Experimental e Tecnológica, Apartado 12, 2781-901 Oeiras, Portugal.",Portugal,Instituto de Biologia Experimental e Tecnológica
9,,MT,Barreto Crespo,"Instituto de Tecnologia Química e Biológica António Xavier, Universidade Nova de Lisboa, Av. da República, 2780-157 Oeiras, Portugal.",Portugal,Universidade Nova de Lisboa
10,,BR,Glick,"Department of Biology, University of Waterloo, Waterloo, ON N2L 3G1, Canada.",Canada,University of Waterloo
11,,FX,Nascimento,"Instituto de Tecnologia Química e Biológica António Xavier, Universidade Nova de Lisboa, Av. da República, 2780-157 Oeiras, Portugal.",Portugal,Universidade Nova de Lisboa
12,,Z,Narayanan,"Division of Biological Sciences, School of STEM, University of Washington, Bothell, WA 98011, USA.",USA,University of Washington
13,,BR,Glick,"Department of Biology, University of Waterloo, Waterloo, ON N2L3G1, Canada.",Canada,University of Waterloo
14,,C,Jung,"Department of Plant Science, College of Agriculture and Life Sciences, Seoul National University, Seoul 08826, Korea.",Korea,Seoul National University
15,,NH,Nguyen,"Faculty of Biotechnology, Ho Chi Minh City Open University, Ho Chi Minh City 700000, Vietnam.",Vietnam,Ho Chi Minh City Open University
16,,JJ,Cheong,"Center for Food and Bioconvergence, Seoul National University, Seoul 08826, Korea.",Korea,Seoul National University
17,,NH,Nguyen,"Faculty of Biotechnology, Ho Chi Minh City Open University, Ho Chi Minh City 700000, Vietnam.",Vietnam,Ho Chi Minh City Open University
18,,NT,Vu,"Center for Food and Bioconvergence, Seoul National University, Seoul 08826, Korea.",Korea,Seoul National University
19,,JJ,Cheong,"Center for Food and Bioconvergence, Seoul National University, Seoul 08826, Korea.",Korea,Seoul National University
20,,Y,Liu,"College of Life Sciences, Nanjing University, Nanjing, 210095, People's Republic of China.",,Nanjing University
21,,C,Li,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
22,,A,Qin,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
23,,W,Deng,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
24,,R,Chen,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
25,,H,Yu,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
26,,Y,Wang,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China.",,Jiangxi Agricultural University
27,,J,Song,"Jiangxi Provincial Key Laboratory of Conservation Biology, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China. jianbosong@jxau.edu.cn.",,Jiangxi Agricultural University
28,,L,Zeng,"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang, 330045, People's Republic of China. zlm@jxau.edu.cn.",,Jiangxi Agricultural University
29,,Z,Li,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
30,,F,Liang,"Ministry of Education Key Laboratory for Ecology of Tropical Islands, College of Life Sciences, Hainan Normal University, Haikou, 571158, China.",China,Hainan Normal University
31,,T,Zhang,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
32,,N,Fu,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
33,,X,Pei,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China. peixinwu@caas.cn.",China,Biotechnology Research Institute
34,,Y,Long,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China. longyan@caas.cn.",China,Biotechnology Research Institute
35,,Z,Li,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
36,,H,Chi,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
37,,C,Liu,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
38,,T,Zhang,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
39,,L,Han,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",China,Biotechnology Research Institute
