Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
18855,,I,Zaharia,"National Research Council of Canada, Government of Canada, 110 Gymnasium Place Saskatoon, Saskatchewan, S7N 0W9, Canada.",Canada,Unparsed
18856,,R,Asenstorfer,"School of Agriculture, Food and Wine, University of Adelaide, Waite Campus, Glen Osmond, SA, 5064, Australia.",Australia,University of Adelaide
18857,,K,Mrva,"School of Agriculture, Food and Wine, University of Adelaide, Waite Campus, Glen Osmond, SA, 5064, Australia.",Australia,University of Adelaide
18858,,H,Hu,"Plant Breeding and Genetics Section, School of Integrative Plant Science, Cornell University, Ithaca, NY, USA.",USA,Cornell University
18859,,JJ,Gutierrez-Gonzalez,"Area de Genética, Departamento de Biología Molecular, Universidad de León, León, Spain.",Spain,Universidad de León
18860,,X,Liu,"Corn Research Institute, Liaoning Academy of Agricultural Sciences, Shenyang, China.",China,Corn Research Institute
18861,,TH,Yeats,"Plant Breeding and Genetics Section, School of Integrative Plant Science, Cornell University, Ithaca, NY, USA.",USA,Cornell University
18862,,DF,Garvin,"USDA-ARS, Plant Science Research Unit, St. Paul, MN, USA.",USA,Unparsed
18863,,OA,Hoekenga,"Cayuga Genetics Consulting Group LLC, Ithaca, NY, USA.",USA,Unparsed
18864,,ME,Sorrells,"Plant Breeding and Genetics Section, School of Integrative Plant Science, Cornell University, Ithaca, NY, USA.",USA,Cornell University
18865,,MA,Gore,"Plant Breeding and Genetics Section, School of Integrative Plant Science, Cornell University, Ithaca, NY, USA.",USA,Cornell University
18866,,JL,Jannink,"USDA-ARS, Robert W. Holley Center for Agriculture and Health, Ithaca, NY, USA.",USA,Unparsed
18867,,C,Wang,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18868,,S,Qiao,"NHC and CAMS Key Laboratory of Molecular Probe and Targeted Theranostics, Harbin Medical University, 150081, Harbin, China.",China,Harbin Medical University
18869,,Y,Zhao,"Space Environment Simulation Research Infrastructure, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18870,,H,Tian,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18871,,W,Yan,"Department of Cardiology, The First Affiliated Hospital of Harbin Medical University, 150081, Harbin, China.",China,The First Affiliated Hospital of Harbin Medical University
18872,,X,Hou,"Department of Cardiology, The Fourth Affiliated Hospital of Harbin Medical University, 150081, Harbin, China.",China,The Fourth Affiliated Hospital of Harbin Medical University
18873,,R,Wang,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18874,,B,Zhang,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18875,,C,Yang,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18876,,F,Zhu,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18877,,Y,Jiao,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18878,,J,Jin,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18879,,Y,Chen,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China.",China,Harbin Institute of Technology
18880,,W,Tian,"School of Life Science and Technology, Harbin Institute of Technology, 150080, Harbin, China. tianweiming@hit.edu.cn.",China,Harbin Institute of Technology
18881,,PH,Lai,"Department of Life Sciences, National Cheng Kung University, Tainan, Taiwan.",Taiwan,National Cheng Kung University
18882,,LM,Huang,"Department of Life Sciences, National Cheng Kung University, Tainan, Taiwan.",Taiwan,National Cheng Kung University
18883,,ZJ,Pan,"Institute of Ecology and Evolutionary Biology, National Taiwan University, Taipei, Taiwan.",Taiwan,National Taiwan University
18884,,WN,Jane,"Institute of Plant and Microbial Biology, Academia Sinica, Taipei, Taiwan.",Taiwan,Institute of Plant and Microbial Biology
18885,,MC,Chung,"Institute of Plant and Microbial Biology, Academia Sinica, Taipei, Taiwan.",Taiwan,Institute of Plant and Microbial Biology
18886,,WH,Chen,"Orchid Research and Development Center, National Cheng Kung University, Tainan, Taiwan.",Taiwan,National Cheng Kung University
18887,,HH,Chen,"Institute of Tropical Plant Sciences, National Cheng Kung University, Tainan, Taiwan.",Taiwan,National Cheng Kung University
18888,,M,Gong,"Department of Food Science and Technology, College of Light Industry and Food Engineering, Nanjing Forestry University, Nanjing 210037, China.",China,Nanjing Forestry University
18889,,T,Huang,"College of Food Science and Engineering, Jiangsu Ocean University, Lianyungang 222005, China.",China,Jiangsu Ocean University
18890,,Y,Li,"National Engineering Research Center of Edible Fungi, Key Laboratory of Edible Fungi Resources and Utilization (South), Ministry of Agriculture, Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai 201403, China.",China,Institute of Edible Fungi
18891,,J,Li,"Research and Development Center, Shanghai Finc Bio-Tech Inc., Shanghai 201401, China.",China,Unparsed
18892,,L,Tang,"National Engineering Research Center of Edible Fungi, Key Laboratory of Edible Fungi Resources and Utilization (South), Ministry of Agriculture, Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai 201403, China.",China,Institute of Edible Fungi
18893,,E,Su,"Department of Food Science and Technology, College of Light Industry and Food Engineering, Nanjing Forestry University, Nanjing 210037, China.",China,Nanjing Forestry University
18894,,G,Zou,"National Engineering Research Center of Edible Fungi, Key Laboratory of Edible Fungi Resources and Utilization (South), Ministry of Agriculture, Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai 201403, China.",China,Institute of Edible Fungi
18895,,D,Bao,"National Engineering Research Center of Edible Fungi, Key Laboratory of Edible Fungi Resources and Utilization (South), Ministry of Agriculture, Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai 201403, China.",China,Institute of Edible Fungi
18896,,M,Marino,"Dipartimento di Medicina, Chirurgia e Odontoiatria ""Scuola Medica Salernitana"", Università degli Studi di Salerno, Via S. Allende, 84081 Baronissi, Italy.",Italy,Università degli Studi di Salerno
18897,,E,Mele,"Dipartimento di Scienze Motorie e del Benessere, Università degli Studi di Napoli Parthenope, 80133 Naples, Italy.",Italy,Università degli Studi di Napoli Parthenope
18898,,A,Viggiano,"Dipartimento di Medicina, Chirurgia e Odontoiatria ""Scuola Medica Salernitana"", Università degli Studi di Salerno, Via S. Allende, 84081 Baronissi, Italy.",Italy,Università degli Studi di Salerno
18899,,SL,Nori,"Dipartimento di Farmacia, Università degli Studi di Salerno, Via Giovanni Paolo II, 84084 Fisciano, Italy.",Italy,Università degli Studi di Salerno
18900,,R,Meccariello,"Dipartimento di Scienze Motorie e del Benessere, Università degli Studi di Napoli Parthenope, 80133 Naples, Italy.",Italy,Università degli Studi di Napoli Parthenope
18901,,A,Santoro,"Dipartimento di Medicina, Chirurgia e Odontoiatria ""Scuola Medica Salernitana"", Università degli Studi di Salerno, Via S. Allende, 84081 Baronissi, Italy.",Italy,Università degli Studi di Salerno
18902,,M,Wilczak,"Doctoral School of Exact and Natural Sciences, Jagiellonian University, Prof. S. Łojasiewicza 11 Street, 30-348 Krakow, Poland.",Poland,Jagiellonian University
18903,,M,Surman,"Department of Glycoconjugate Biochemistry, Faculty of Biology, Institute of Zoology and Biomedical Research, Jagiellonian University, Gronostajowa 9 Street, 30-387 Krakow, Poland.",Poland,Jagiellonian University
18904,,M,Przybyło,"Department of Glycoconjugate Biochemistry, Faculty of Biology, Institute of Zoology and Biomedical Research, Jagiellonian University, Gronostajowa 9 Street, 30-387 Krakow, Poland.",Poland,Jagiellonian University
18905,,AJ,Ogden,"Environmental Molecular Sciences Laboratory (EMSL), Pacific Northwest National Laboratory (PNNL), Richland, Washington, USA.",USA,Environmental Molecular Sciences Laboratory (EMSL)
18906,,TW,Wietsma,"Environmental Molecular Sciences Laboratory (EMSL), Pacific Northwest National Laboratory (PNNL), Richland, Washington, USA.",USA,Environmental Molecular Sciences Laboratory (EMSL)
