Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
20112,,N,Piroddi,"Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.",Italy,University of Florence
20113,,B,Scellini,"Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.",Italy,University of Florence
20114,,R,Crispino,"Telethon Institute of Genetics and Medicine (TIGEM), Pozzuoli, Italy.",Italy,Telethon Institute of Genetics and Medicine (TIGEM)
20115,,F,D'Autilia,"IRCCS Humanitas Research Hospital, Milan, Italy.",Italy,Unparsed
20116,,J,Zhang,"Department of Medicine, University of California, San Diego, La Jolla, United States.",United States,University of California
20117,,A,Felicetta,"Humanitas University, Pieve Emanuele, Italy.",Italy,Humanitas University
20118,,S,Nemska,"IRCCS Humanitas Research Hospital, Milan, Italy.",Italy,Unparsed
20119,,S,Serio,"IRCCS Humanitas Research Hospital, Milan, Italy.",Italy,Unparsed
20120,,C,Tesi,"Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.",Italy,University of Florence
20121,,D,Catalucci,"IRCCS Humanitas Research Hospital, Milan, Italy.",Italy,Unparsed
20122,,WA,Linke,"Institute of Physiology II, University of Muenster, Muenster, Germany.",Germany,University of Muenster
20123,,R,Polishchuk,"Telethon Institute of Genetics and Medicine (TIGEM), Pozzuoli, Italy.",Italy,Telethon Institute of Genetics and Medicine (TIGEM)
20124,,C,Poggesi,"Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.",Italy,University of Florence
20125,,M,Gautel,"Randall Centre for Cell and Molecular Biophysics, King's College London BHF Centre of Research Excellence, London, United Kingdom.",United Kingdom,King's College London BHF Centre of Research Excellence
20126,,ML,Bang,"IRCCS Humanitas Research Hospital, Milan, Italy.",Italy,Unparsed
20127,,R,Giegé,"Architecture et Réactivité de l'ARN, UPR9002 Centre National de la Recherche Scientifique, Université de Strasbourg, Institut de Biologie Moléculaire et Cellulaire, 2 allée Konrad Roentgen, 67084 Strasbourg, France.",France,Université de Strasbourg
20128,,G,Eriani,"Architecture et Réactivité de l'ARN, UPR9002 Centre National de la Recherche Scientifique, Université de Strasbourg, Institut de Biologie Moléculaire et Cellulaire, 2 allée Konrad Roentgen, 67084 Strasbourg, France.",France,Université de Strasbourg
20129,,A,Roy,"Department of Genetics and Plant Breeding, Ramakrishna Mission Vivekananda Educational & Research Institute (RKMVERI), Ramkrishna Mission Ashrama, Kolkata, India.",India,Ramakrishna Mission Vivekananda Educational & Research Institute (RKMVERI)
20130,,PK,Sahu,"Department of Genetics and Plant Breeding, College of Agriculture, Indira Gandhi Krishi Viswavidyalaya, Raipur, Chhattisgarh, India.",India,College of Agriculture
20131,,C,Das,"Department of Genetics and Plant Breeding, Bidhan Chandra Krishi Viswavidyalaya, Mohanpur West Bengal, India.",India,Unparsed
20132,,S,Bhattacharyya,"Department of Genetics and Plant Breeding, Bidhan Chandra Krishi Viswavidyalaya, Mohanpur West Bengal, India.",India,Unparsed
20133,,A,Raina,"Botany Section, Women's College, Aligarh Muslim University, Aligarh, Uttar Pradesh, India.",India,Aligarh Muslim University
20134,,S,Mondal,"Homi Bhabha National Institute, Training School Complex, Anushaktinagar, Mumbai, India.",India,Homi Bhabha National Institute
20135,,X,Huang,"Department of Biology, Duke University, Durham, NC, USA.",USA,Duke University
20136,,H,Tian,"Department of Botany and Plant Sciences, University of California, Riverside, Riverside, CA, USA.",USA,University of California
20137,,J,Park,"Syngenta, Research Triangle Park, Raleigh, NC, USA.",USA,Unparsed
20138,,DH,Oh,"Department of Biological Sciences, Louisiana State University, Baton Rouge, LA, USA.",USA,Louisiana State University
20139,,J,Hu,"Department of Biology, Duke University, Durham, NC, USA.",USA,Duke University
20140,,R,Zentella,"Department of Crop and Soil Sciences, North Carolina State University, Raleigh, NC, USA.",USA,North Carolina State University
20141,,H,Qiao,"Institute for Cellular and Molecular Biology and Department of Molecular Biosciences, The University of Texas at Austin, Austin, TX, USA.",USA,The University of Texas at Austin
20142,,M,Dassanayake,"Department of Biological Sciences, Louisiana State University, Baton Rouge, LA, USA.",USA,Louisiana State University
20143,,TP,Sun,"Department of Biology, Duke University, Durham, NC, USA. tps@duke.edu.",USA,Duke University
20144,,Y,Bi,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20145,,R,Shrestha,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20146,,Z,Zhang,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20147,,CC,Hsu,"Institute of Plant and Microbial Biology, Academia Sinica, Taipei 115, Taiwan.",Taiwan,Institute of Plant and Microbial Biology
20148,,AV,Reyes,"Carnegie Mass Spectrometry Facility, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20149,,S,Karunadasa,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20150,,PR,Baker,"Department of Pharmaceutical Chemistry, University of California at San Francisco, San Francisco, California 94143, USA.",USA,University of California at San Francisco
20151,,JC,Maynard,"Department of Pharmaceutical Chemistry, University of California at San Francisco, San Francisco, California 94143, USA.",USA,University of California at San Francisco
20152,,Y,Liu,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
20153,,A,Hakimi,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
20154,,D,Lopez-Ferrer,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
20155,,T,Hassan,"ThermoFisher Scientific, Somerset, New Jersey 08873, USA.",USA,Unparsed
20156,,RJ,Chalkley,"Department of Pharmaceutical Chemistry, University of California at San Francisco, San Francisco, California 94143, USA.",USA,University of California at San Francisco
20157,,SL,Xu,"Carnegie Mass Spectrometry Facility, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20158,,ZY,Wang,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20159,,Y,Bi,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20160,,R,Shrestha,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20161,,Z,Zhang,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20162,,CC,Hsu,"Institute of Plant and Microbial Biology, Academia Sinica, Taipei 115, Taiwan.",Taiwan,Institute of Plant and Microbial Biology
20163,,AV,Reyes,"Carnegie Mass Spectrometry Facility, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20164,,S,Karunadasa,"Department of Plant Biology, Carnegie Institution for Science, Stanford, California 94305, USA.",USA,Carnegie Institution for Science
20165,,PR,Baker,"Department of Pharmaceutical Chemistry, University of California at San Francisco, San Francisco, California 94143, USA.",USA,University of California at San Francisco
20166,,JC,Maynard,"Department of Pharmaceutical Chemistry, University of California at San Francisco, San Francisco, California 94143, USA.",USA,University of California at San Francisco
20167,,Y,Liu,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
20168,,A,Hakimi,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
20169,,D,Lopez-Ferrer,"ThermoFisher Scientific, San Jose, California 95134, USA.",USA,Unparsed
