keyword,pubmed_id,doi,author_name,affiliation,institute,address,given_name,family_name
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Courtney,Meason-Smith
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Erin E.,Edwards
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Caitlin E.,Older
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Mackenzie,Branco
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Laura K.,Bryan
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Sara D.,Lawhon
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Jan S.,Suchodolski
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Gabriel,Gomez
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Joanne,Mansell
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Aline Rodrigues,Hoffmann
Lyticase,28346123,10.1177/0300985817698207,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Courtney,Meason-Smith
Lyticase,28346123,10.1177/0300985817698207,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Erin E.,Edwards
Lyticase,28346123,10.1177/0300985817698207,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Caitlin E.,Older
